gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,depth,is_seed,truncated_by_depth,in_cycle,median_lag_days,max_same_day_payers,fast_transit,synchronized_burst
100000000343175100,coordinator,0.75,11,0.9241,"Одновременно принимает от 8 плательщиков (178,712 KZT) и рассылает 31 получателям (4,000,039 KZT) — двусторонний хаб, кандидат в организаторы. (seed: входящие занижены — граф собран от него)",8,31,178712.0,4000039.0,14,33,0.0007166946382018727,0.001113447146722526,22.382598818210305,0,True,False,False,0.0,2,True,False
100000000456947100,peripheral,0.2,67,0.0921,Seed-клиент без единого ребра в выборке — 0 входящих и исходящих переводов (порог 5 000 KZT или операции вне банка).,0,0,0.0,0.0,0,0,0.0,0.0,,0,True,False,False,,0,False,False
100000000580561100,peripheral,0.5,43,0.573,"Низкая активность в выборке: 2 вход. / 3 исход., 1,516,057 KZT суммарно, pass_through=53.18 — выраженных признаков роли не выявлено.",2,3,27980.0,1488077.0,3,13,0.0008384348345170707,1.2092493060924398e-06,53.183595425303785,0,True,False,True,0.0,1,True,False
100000001415126100,terminal,0.72,13,0.3956,"Нет исходящих переводов на 0-м колене (обход не был искусственно прерван, глубина < 4) — получил 27,000 KZT от 1 плательщиков и удержал их.",1,0,27000.0,0.0,1,0,0.0004114090098163562,0.0,0.0,0,True,False,False,,1,False,False
100000001429930100,terminal,0.72,14,0.3711,"Нет исходящих переводов на 0-м колене (обход не был искусственно прерван, глубина < 4) — получил 26,000 KZT от 1 плательщиков и удержал их.",1,0,26000.0,0.0,1,0,0.0003523464564592315,0.0,0.0,0,True,False,False,,1,False,False
100000001616816100,transit,0.84,10,0.6897,"Пропускает средства не удерживая: получил 176,195 KZT, отдал 181,326 KZT (1.03x) от 5 плательщиков 3 получателям, медианная задержка 1 дн.. (seed: входящие занижены — граф собран от него)",5,3,176195.0,181326.0,12,10,0.00244618625473035,0.0001064947274559291,1.0291211441868384,0,True,False,True,1.0,1,True,False
100000001732159100,peripheral,0.5,35,0.5991,"Низкая активность в выборке: 2 вход. / 4 исход., 3,884,066 KZT суммарно, pass_through=0.63 — выраженных признаков роли не выявлено.",2,4,2378100.0,1505966.0,30,23,0.001099397432375524,2.0618231041378772e-05,0.633264370716118,0,True,False,True,1.0,2,True,False
100000002527114100,distributor,0.95,1,0.8358,"Рассылает 111 получателям (3,289,249 KZT), получая лишь от 3 плательщиков — веерное распределение средств вниз по цепочке. (seed: входящие занижены — граф собран от него)",3,111,129000.0,3289249.0,4,113,0.0008146179725184579,0.00019670455379103686,25.49805426356589,0,True,False,True,0.0,1,True,False
100000002916006100,peripheral,0.35,21,0.1591,"Низкая активность в выборке: 0 вход. / 1 исход., 32,000 KZT суммарно — выраженных признаков роли не выявлено.",0,1,0.0,32000.0,0,1,0.0002868488506751384,0.0,,0,True,False,False,,0,False,False
100000003016635100,coordinator,0.95,4,0.9404,"Одновременно принимает от 8 плательщиков (586,981 KZT) и рассылает 73 получателям (9,414,081 KZT) — двусторонний хаб, кандидат в организаторы. (seed: входящие занижены — граф собран от него)",8,73,586981.0,9414081.0,36,151,0.0011952566810188184,0.00733908623831256,16.038135817002594,0,True,False,True,0.0,3,True,True
